project,file,verified_models,nonverified_models,min_success_tokens,max_nonverified_tokens,token_gap,outcomes
IR,IR__host_impl_v__impl2__parse_end_points.rs,1,3,59861,557793,497932,claude:VERIFIED:59861; claude-s4:FAILED:557793; gpt5:FAILED:108009; o4mini:FAILED:355923
OS,OS__pagetable__pagemap__impl0__set.rs,2,2,132769,618696,485927,claude:VERIFIED:193445; claude-s4:VERIFIED:132769; gpt5:FAILED:115433; o4mini:FAILED:618696
AL,AL__a_submap_of_a_finite_map_is_finite.rs,3,1,12294,490387,478093,claude:VERIFIED:12294; claude-s4:VERIFIED:22670; gpt5:VERIFIED:13303; o4mini:FAILED:490387
NR,NR__spec_t__os_invariant__lemma_candidate_mapping_inflight_pmem_overlap_os_implies_hl.rs,3,1,128018,605499,477481,claude:VERIFIED:128018; claude-s4:VERIFIED:143909; gpt5:VERIFIED:227027; o4mini:FAILED:605499
NR,NR__spec_t__os_invariant__init_implies_inv.rs,3,1,203885,678906,475021,claude:VERIFIED:214518; claude-s4:VERIFIED:1600564; gpt5:VERIFIED:203885; o4mini:FAILED:678906
AC,AC__vreplicaset_controller__proof__liveness__spec__assumption_and_invariants_of_all_phases_is_stable.rs,3,1,180910,653827,472917,claude:VERIFIED:180910; claude-s4:VERIFIED:1089883; gpt5:FAILED:653827; o4mini:VERIFIED:1385057
OS,OS__kernel__mem_util__impl0__create_entry.rs,2,2,504088,973779,469691,claude:VERIFIED:504088; claude-s4:VERIFIED:1684066; gpt5:FAILED:127266; o4mini:FAILED:973779
NR,NR__impl_u__os_refinement__interp_vmem_update_range.rs,3,1,86903,553385,466482,claude:VERIFIED:86903; claude-s4:VERIFIED:136459; gpt5:VERIFIED:108527; o4mini:FAILED:553385
ST,ST__setup_write_setup_metadata_to_region.rs,1,3,198235,662915,464680,claude:FAILED:662915; claude-s4:FAILED:565654; gpt5:FAILED:84305; o4mini:VERIFIED:198235
NR,NR__spec_t__mmu__rl2__lemma_pt_walk_with_indexing_bits_match.rs,3,1,9055,468648,459593,claude:VERIFIED:9055; claude-s4:VERIFIED:41221; gpt5:VERIFIED:47293; o4mini:FAILED:468648
